BarLogIndex,LogDetails
270,DEBUG: Checking immediate CDS confirmation for newly set PDS 269; DEBUG: Confirmed CDS at Bar 269; DEBUG: Immediate CDS confirmation triggered for PDS 269; DEBUG: New CONFIRMED CONTAINMENT established by CDS 269 (H:5987.5) and prior CUS 260 (L:5925.0). Active: True; Signal for Pending Downtrend Start on Bar 269 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 269 (2025-05-19 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 269 (2025-05-19 14:00:00+00:00) (Rule: G)
271,Pending Downtrend Start on Bar 271 (2025-05-19 22:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 271 (2025-05-19 22:00:00+00:00) (by Rule C: HH & Down Close)
272,Info: prev_bar 271 (H:5993.25) not set as PDS. Existing PDS is 271 (H:5993.25). prev_bar.h is not > existing PDS.H.
273,DEBUG: Confirmed CUS at Bar 267; DEBUG: New CONFIRMED CONTAINMENT established by CUS 267 (L:5892.75) and prior CDS 269 (H:5987.5). Active: True; Info: prev_bar 272 (H:5974.25) not set as PDS. Existing PDS is 271 (H:5993.25). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 267 (2025-05-19 06:00:00+00:00) (Rule: LowUndercutHighRespect)
274,DEBUG: Confirmed CDS at Bar 271; DEBUG: New CONFIRMED CONTAINMENT established by CDS 271 (H:5993.25) and prior CUS 267 (L:5892.75). Active: True; Pending Downtrend Start on Bar 274 (2025-05-20 10:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 274 (2025-05-20 10:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 271 (2025-05-19 22:00:00+00:00) (Rule: F)
275,"Info: prev_bar 274 (H:5974.75) not set as PDS. Existing PDS is 274 (H:5974.75). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 274 (2025-05-20 10:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 275 inside Bar 274 (PENDING_DOWNTREND_HIGH H:5974.75, L:5950.5)."
276,Containment ENDED: Bar 276 moves outside Bar 274 range (was 1 bar(s) inside).; Info: prev_bar 275 (H:5971.0) not set as PDS. Existing PDS is 274 (H:5974.75). prev_bar.h is not > existing PDS.H.
277,Info: prev_bar 276 (H:5962.75) not set as PDS. Existing PDS is 274 (H:5974.75). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 276 (2025-05-20 18:00:00+00:00) (general PUS rule on prev_bar)
278,Info: prev_bar 277 (H:5958.0) not set as PDS. Existing PDS is 274 (H:5974.75). prev_bar.h is not > existing PDS.H.
279,Info: prev_bar 278 (H:5948.75) not set as PDS. Existing PDS is 274 (H:5974.75). prev_bar.h is not > existing PDS.H.
280,DEBUG: Confirmed CUS at Bar 276; DEBUG: New CONFIRMED CONTAINMENT established by CUS 276 (L:5926.5) and prior CDS 271 (H:5993.25). Active: True; Info: prev_bar 279 (H:5934.25) not set as PDS. Existing PDS is 274 (H:5974.75). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 276 (2025-05-20 18:00:00+00:00) (Rule: LowUndercutHighRespect)
281,DEBUG: Confirmed CDS at Bar 274; DEBUG: New CONFIRMED CONTAINMENT established by CDS 274 (H:5974.75) and prior CUS 276 (L:5926.5). Active: True; Pending Downtrend Start on Bar 281 (2025-05-21 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 281 (2025-05-21 14:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 274 (2025-05-20 10:00:00+00:00) (Rule: F)
282,Info: prev_bar 281 (H:5956.25) not set as PDS. Existing PDS is 281 (H:5956.25). prev_bar.h is not > existing PDS.H.
